Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 101,10100,16,,,,,
Player 107,10300,16,,,,,
Player 115,11700,23,,,,,
Player 119,10100,15,,,,,
Player 123,10300,16,,,,,
Player 129,11550,13,,,,,
Player 132,10050,17,,,,,
Player 139,12350,23,,,,,
Player 145,10200,20,,,,,
Player 149,10150,14,,,,,
Player 155,10250,17,,,,,
Player 157,10150,18,,,,,
Player 165,10050,24,,,,,
Player 170,10250,14,,,,,
Player 175,10050,20,,,,,
Player 178,11050,17,,,,,
Player 182,11250,14,,,,,
Player 186,10050,13,,,,,
Player 195,10150,16,,,,,
Player 200,11250,12,,,,,
Player 201,10250,18,,,,,
Player 209,10500,18,,,,,
Player 211,10400,13,,,,,
Player 217,11150,18,,,,,
Player 223,10750,17,,,,,
Player 226,10800,18,,,,,
Player 234,10650,16,,,,,
Player 240,10700,22,,,,,
Player 241,10900,19,,,,,
Player 247,11200,15,,,,,
Player 251,10300,15,,,,,
Player 258,10950,18,,,,,
Player 262,11500,16,,,,,
Player 269,10750,18,,,,,
Player 275,11550,19,,,,,
Player 279,10300,17,,,,,
Player 281,10950,17,,,,,
Player 286,10000,24,,,,,
Player 291,10700,12,,,,,
Player 296,10250,19,,,,,
Player 304,10600,15,,,,,
Player 309,11650,19,,,,,
Player 312,11750,18,,,,,
Player 316,10100,19,,,,,
Player 325,11000,17,,,,,
Player 330,10250,14,,,,,
Player 331,10500,20,,,,,
Player 338,10800,23,,,,,
Player 345,10250,10,,,,,
Player 348,11350,18,,,,,
Player 352,11250,12,,,,,
Player 359,10650,16,,,,,
Player 361,11000,13,,,,,
Player 366,10050,19,,,,,
Player 375,10000,21,,,,,
Player 376,10450,15,,,,,
Player 384,11550,19,,,,,
Player 386,10100,18,,,,,
Player 391,11200,12,,,,,
Player 400,10350,10,,,,,
Player 401,10350,18,,,,,
Player 410,10150,20,,,,,
Player 414,10500,17,,,,,
Player 418,10000,20,,,,,
Player 422,10150,15,,,,,
Player 429,11600,17,,,,,
Player 431,11350,16,,,,,
Player 438,12000,15,,,,,
Player 441,10100,10,,,,,
Player 448,11650,19,,,,,
Player 454,10100,12,,,,,
Player 456,11900,16,,,,,
Player 465,11600,15,,,,,
Player 466,10650,17,,,,,
Player 473,10550,14,,,,,
Player 480,11050,18,,,,,
Player 485,10750,20,,,,,
Player 490,10150,16,,,,,
Player 492,10000,13,,,,,
Player 499,12200,15,,,,,
Player 502,10350,12,,,,,
Player 508,11650,24,,,,,
Player 515,10600,17,,,,,
Player 518,10750,12,,,,,
Player 524,10300,19,,,,,
Player 527,11800,16,,,,,
Player 535,11300,21,,,,,
Player 539,10050,14,,,,,
Player 544,10750,14,,,,,
Player 548,10150,19,,,,,
Player 555,10500,17,,,,,
Player 558,10200,20,,,,,
Player 562,10600,11,,,,,
Player 569,12000,13,,,,,
Player 572,12050,16,,,,,
Player 578,10200,13,,,,,
Player 581,10350,18,,,,,
Player 590,10100,21,,,,,
Player 593,10200,19,,,,,
Player 596,10050,9,,,,,
Player 602,10600,20,,,,,
Player 609,10450,19,,,,,
Player 612,11300,16,,,,,
Player 617,10650,19,,,,,
Player 622,10050,14,,,,,
Player 626,11250,21,,,,,
Player 633,10800,14,,,,,
Player 640,11100,16,,,,,
Player 644,13350,21,,,,,
Player 646,10650,16,,,,,
Player 652,10600,11,,,,,
Player 656,10000,14,,,,,
Player 664,11850,17,,,,,
Player 667,10100,14,,,,,
Player 675,10800,15,,,,,
Player 680,11050,19,,,,,
Player 684,10150,16,,,,,
Player 686,10350,14,,,,,
Player 691,12300,19,,,,,
Player 700,11150,12,,,,,
Player 705,10150,18,,,,,
Player 708,10250,15,,,,,
Player 711,10850,13,,,,,
Player 719,11800,20,,,,,
Player 723,11350,14,,,,,
Player 730,10100,23,,,,,
Player 734,10600,11,,,,,
Player 740,10100,25,,,,,
Player 743,10300,24,,,,,
Player 750,12500,20,,,,,
Player 753,10200,15,,,,,
Player 756,10450,17,,,,,
Player 764,10750,15,,,,,
Player 766,10500,17,,,,,
Player 775,10100,16,,,,,
Player 777,10000,13,,,,,
Player 783,11450,22,,,,,
Player 789,10000,19,,,,,
Player 795,10650,23,,,,,
Player 797,10450,13,,,,,
Player 1,10950,22,,,,,
Player 10,10200,18,,,,,
Player 13,11200,17,,,,,
Player 20,10000,19,,,,,
Player 25,11450,14,,,,,
Player 30,10150,19,,,,,
Player 34,12800,15,,,,,
Player 40,11900,18,,,,,
Player 44,10400,15,,,,,
Player 46,10000,19,,,,,
Player 51,10000,16,,,,,
Player 56,10150,16,,,,,
Player 64,10400,10,,,,,
Player 69,10450,11,,,,,
Player 73,11150,13,,,,,
Player 80,11400,13,,,,,
Player 81,10050,15,,,,,
Player 86,10150,16,,,,,
Player 92,10100,10,,,,,
Player 100,11300,21,,,,,
Player 103,10000,18,,,,,
Player 109,10850,17,,,,,
Player 114,10650,13,,,,,
Player 120,10350,15,,,,,
Player 124,15250,19,,,,,
Player 130,10600,14,,,,,
Player 133,10000,18,,,,,
Player 137,10250,14,,,,,
Player 142,10100,16,,,,,
Player 150,11350,19,,,,,
Player 154,11150,12,,,,,
Player 158,10900,17,,,,,
Player 163,10750,14,,,,,
Player 170,10050,20,,,,,
Player 172,10150,22,,,,,
Player 176,10300,16,,,,,
Player 185,11150,11,,,,,
Player 186,12450,20,,,,,
Player 193,10450,17,,,,,
Player 200,10200,17,,,,,
Player 202,11300,19,,,,,
Player 208,13200,14,,,,,
Player 214,10900,19,,,,,
Player 218,10150,20,,,,,
Player 223,11150,12,,,,,
Player 226,10000,20,,,,,
Player 232,10100,15,,,,,
Player 237,11500,13,,,,,
Player 242,10150,15,,,,,
Player 250,10050,19,,,,,
Player 253,10950,17,,,,,
Player 256,10200,22,,,,,
Player 262,10500,22,,,,,
Player 269,10350,17,,,,,
Player 273,13000,18,,,,,
Player 278,14500,19,,,,,
Player 284,11850,20,,,,,
Player 288,10150,15,,,,,
Player 294,10950,17,,,,,
Player 298,10050,24,,,,,
Player 303,10350,16,,,,,
Player 309,10900,11,,,,,
Player 314,10150,14,,,,,
Player 320,10850,18,,,,,
Player 322,10250,19,,,,,
Player 327,10700,25,,,,,
Player 333,11350,24,,,,,
Player 340,11050,10,,,,,
